gcr,3.41.2-4
gcr4,4.4.0.1-7
gdb,16.3-1ubuntu2
gdisk,1.0.10-2
gdm3,49.0.1-1ubuntu2.1
genisoimage,9:1.1.11-4
geoclue-2.0,2.7.2-2ubuntu2
geocode-glib-common,3.26.4-2
gettext,0.23.1-2build2
gettext-base,0.23.1-2build2
ghostscript,10.05.0dfsg1-0ubuntu4
gir1.2-accountsservice-1.0:amd64,23.13.9-7ubuntu1
gir1.2-adw-1:amd64,1.8.0-1ubuntu2
gir1.2-atk-1.0:amd64,2.57.1-1
gir1.2-atspi-2.0:amd64,2.57.1-1
gir1.2-ayatanaappindicator3-0.1,0.5.94-1
gir1.2-dbusmenu-glib-0.4:amd64,18.10.20180917~bzr492+repack1-4
gir1.2-freedesktop:amd64,1.84.0-1
gir1.2-gck-2:amd64,4.4.0.1-7
gir1.2-gcr-4:amd64,4.4.0.1-7
gir1.2-gdesktopenums-3.0:amd64,49.0-1ubuntu1
gir1.2-gdkpixbuf-2.0:amd64,2.42.12+dfsg-5
gir1.2-gdm-1.0,49.0.1-1ubuntu2.1
gir1.2-geoclue-2.0:amd64,2.7.2-2ubuntu2
gir1.2-girepository-2.0:amd64,1.84.0-1
gir1.2-girepository-3.0:amd64,2.86.0-2ubuntu0.3
gir1.2-glib-2.0:amd64,2.86.0-2ubuntu0.3
gir1.2-gmenu-3.0:amd64,3.36.0-3ubuntu2
gir1.2-gnomeautoar-0.1:amd64,0.4.5-3
gir1.2-gnomebg-4.0:amd64,44.4-1
gir1.2-gnomebluetooth-3.0:amd64,47.1-2
gir1.2-gnomedesktop-3.0:amd64,44.4-1
gir1.2-gnomedesktop-4.0:amd64,44.4-1
gir1.2-graphene-1.0:amd64,1.10.8-5
gir1.2-gstreamer-1.0:amd64,1.26.6-1
gir1.2-gtk-3.0:amd64,3.24.50-1ubuntu2
gir1.2-gtk-4.0:amd64,4.20.1+ds-2
gir1.2-gtk-vnc-2.0:amd64,1.5.0-1
gir1.2-gtksource-4:amd64,4.8.4-7
gir1.2-gweather-4.0:amd64,4.4.4-3
gir1.2-handy-1:amd64,1.8.3-3
gir1.2-harfbuzz-0.0:amd64,10.2.0-1
gir1.2-ibus-1.0:amd64,1.5.32-2build1
gir1.2-javascriptcoregtk-4.1:amd64,2.50.4-0ubuntu0.25.10.1
gir1.2-libosinfo-1.0:amd64,1.12.0-3
gir1.2-libvirt-glib-1.0:amd64,5.0.0-2build4
gir1.2-mutter-17:amd64,49.0-2ubuntu5.3
gir1.2-nm-1.0:amd64,1.52.0-1ubuntu3.3
gir1.2-nma4-1.0:amd64,1.10.6-5build1
gir1.2-notify-0.7:amd64,0.8.6-2
gir1.2-packagekitglib-1.0,1.3.1-1ubuntu1
gir1.2-pango-1.0:amd64,1.56.3-1build1
